dbid,title,age,text,lemmatized
7419, bo,15,és el gust que sent quan t'agrada algú.,ser el gust que sentir quan tu agradar algú .
7420, convèncer,15,"és una acció que fa una cosa una persona per que una altre
Persona d'una cosa perqué perdi la por, la inseguritat.","ser un acció que fer un cosa un persona per que un altre persona de un cosa perquè perdre el por , el inseguretat ."
7421, mestre,15,"és una persona que ensenya a unes altres persona alguna
cosa.",ser un persona que ensenyar a un altre persona algun cosa .
7857, consultar,12,Buscar o cercar,buscar o cercar .
7858, metàl·lic,12,cosa metalica,cosa metàl·lic .
7859, vacuna,12,Imgecio que es pos per no tenir enfermetals,injecció que es posar per no tenir enfermetat .
8815, enyorar,12,"     Es    que   quan el s   pares
estan       jun  i      jo     no    los      p uc
veura",ser que quan el pare estar junt i jo no él poder veure .
8816, il·legal,12,"      es  algu  que   si   fa   una
cosa  que   per exem ple i gra va
con  el  mobil   graba  co se s
con  señor  que  juita.",ser algo que si fer un cosa que per_exemple i grabar con el mòbil grabar cosa con senyor que lluitar .
8817, península,12,"         la        penísula    es   un 
mapa      de     Es panya    h idrografia  i
relleu",el península ser un mapa de espanya hidrografia i relleu .
52, arribar,10,"per exemple: persona que arriba 
a casa.",per_exemple : persona que arribar a casa .
53, avorrit,10,"persona que no juga, que 
vol estar sol...","persona que no jugar , que voler estar sol ..."
54, polític,10,Persona que es dedica a la politica,persona que ell dedicar a el política .
8405, llegir,15,llegir es llegir algo.,llegir ser llegir algo .
8406, mapa,15,lloc on es dibuixa el terreny d'un lloc a escala,lloc on es dibuixar el terreny de un lloc a escala .
8407, minúscul,15,"pequeño, muy pequeño.","pequeño , muy pequeño ."
7754, estimar,12,una persona que li agrada molt altre.,un persona que ell agradar molt altre .
7755, gent gran,12,"son persones d'una edat avansada, s'anomeran com persones de la tercera edat, els diuen vells.","ser persona de un edat avançat , ell anomenar com persona de el tercer edat , ell dir vell ."
7756, ximple,12,una persona que fa balleries a totes hores.,un persona que fer balleries a_totes_hores .
5280, amagar,13,"Agafar una cosa i posar-la en un lloc on es vegi, perquè algú no ho trobi.","agafar un cosa i posar ell en un lloc on ell vejar , perquè algú no ho trobar ."
5281, indígena,13,"Persona que prov``e de tribus d'indis americans, amb la pell més aviat rogenca.","persona que provenir de tribu de indi americà , amb el pell més aviat rogenc ."
5282, lleig,13,"Cualitat d'una persona, objecte, etc. Que té un aspecte que no agrada. Pot ser que per algú sigui lleig i que per a un altre no ho sigui.","qualitat de un persona , objecte , etcètera que tenir un aspecte que no agradar . poder ser que per algú ser lleig i que per a un altre no ho ser ."
8549, estimar,15,voler copular amb algú.,voler copular amb algú .
8550, gent gran,15,Gent persones que lis costa valer-se per elles mateixes.,gent persona que ell costar valer ell per ell mateix .
8551, ximple,15,persona poc llesta o descuidada.,persona poc llest o descuidat .
4699, enyorar,9,Una persona o cosa que troves a faltar,un persona o cosa que trovar a faltar .
4700, il·legal,9,Una cosa que no es pot fer,un cosa que no es poder fer .
4701, península,9,Un conjunt de paisos.,un conjunt de país .
6650, complicat,,"es una cosa dificil de fer, que costa molt d'esforç","ser un cosa difícil de fer , que costar molt de esforç ."
6651, estimar,,es tenit carinyo respecte i estar amb una persona.,ser tenir carinyo respecte i estar amb un persona .
6652, microscopi,,es un aparell que serveix per veure coses molt petites augmentades.,ser un aparell que servir per veure cosa molt petit augmentat .
2168, àrab,12,idioma que esparla a ARABIA,idioma que ell parlar a aràbia .
2169, badar,12,estan [encantat] tot el rató i no sentir res,estar [ encantat ] tot el estona i no sentir res .
2170, llunyà,12,està molt lluny,estar molt lluny .
2018, estimar,11,"que tagradi algú, donarli amor algu.","que tu agradar algú , donar ell amor algú ."
2019, gent gran,11,"gen ""vella"" o gen entre 30 i infinit",gent ' vell ' o gent entre 30 i infinit .
